"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2021","1,157.50","1,120.70","1,157.50","1,120.00","0.16K","2.84%"
"04/09/2021","1,125.50","1,109.70","1,143.00","1,103.50","0.16K","1.73%"
"04/08/2021","1,106.40","1,081.70","1,106.40","1,064.50","0.34K","2.98%"
"04/07/2021","1,074.40","1,055.10","1,075.40","1,053.50","0.21K","2.88%"
"04/06/2021","1,044.30","1,023.30","1,048.30","1,023.20","0.27K","2.28%"
"04/05/2021","1,021.00","1,013.20","1,032.80","1,013.20","0.18K","0.83%"
"04/01/2021","1,012.60","1,012.60","1,022.80","1,006.00","0.23K","0.35%"
"03/31/2021","1,009.10","989.00","1,014.10","985.00","0.26K","1.97%"
"03/30/2021","989.60","974.00","997.20","963.20","0.27K","2.53%"
"03/29/2021","965.20","947.50","974.80","941.50","0.17K","1.28%"
"03/26/2021","953.00","969.30","969.30","949.00","0.20K","-2.11%"
"03/25/2021","973.50","943.00","973.80","935.50","0.23K","2.93%"
"03/24/2021","945.80","942.40","949.80","917.40","0.15K","0.36%"
"03/23/2021","942.40","935.20","950.90","922.00","0.25K","1.75%"
"03/22/2021","926.20","900.00","933.60","864.00","0.41K","4.47%"
"03/19/2021","886.60","860.00","886.60","857.70","0.24K","3.74%"
"03/18/2021","854.60","862.10","879.90","844.70","0.15K","0.05%"
"03/17/2021","854.20","838.00","866.70","826.30","0.26K","1.69%"
"03/16/2021","840.00","851.20","863.80","830.50","0.21K","-19.23%"
"03/15/2021","1,040.00","1,002.60","1,045.00","1,002.60","0.00K","3.16%"
"03/12/2021","1,008.10","972.00","1,008.10","972.00","0.06K","3.71%"
"03/11/2021","972.00","978.30","993.00","966.00","0.06K","-1.31%"
"03/10/2021","984.90","998.70","999.00","969.00","0.05K","-0.53%"
"03/09/2021","990.10","985.90","998.00","985.00","0.10K","0.12%"
"03/08/2021","988.90","991.00","994.00","976.00","0.06K","0.60%"
"03/05/2021","983.00","988.70","991.00","969.90","0.06K","0.20%"
"03/04/2021","981.00","982.00","994.00","977.00","0.06K","0.10%"
"03/03/2021","980.00","975.00","1,000.80","975.00","0.07K","-1.06%"
"03/02/2021","990.50","965.00","994.00","957.00","0.21K","1.69%"
"03/01/2021","974.00","1,000.00","1,015.70","959.00","0.12K","-2.17%"
"02/26/2021","995.60","1,007.00","1,011.00","986.70","0.17K","-1.13%"
"02/25/2021","1,007.00","1,010.80","1,013.70","996.10","0.12K","-0.38%"
"02/24/2021","1,010.80","1,014.40","1,021.50","997.00","0.20K","-0.72%"
"02/23/2021","1,018.10","1,024.20","1,030.40","989.80","0.21K","-0.36%"
"02/22/2021","1,021.80","982.00","1,022.30","982.00","0.36K","3.18%"
"02/19/2021","990.30","1,004.00","1,004.50","978.90","0.30K","-1.41%"
"02/18/2021","1,004.50","986.90","1,004.90","984.10","0.30K","1.79%"
"02/17/2021","986.80","995.90","996.30","980.30","0.29K","-0.56%"
"02/16/2021","992.40","979.00","994.90","968.30","0.27K","1.05%"
"02/12/2021","982.10","979.00","991.90","970.70","0.23K","0.32%"
"02/11/2021","979.00","950.80","982.80","950.80","0.37K","2.97%"
"02/10/2021","950.80","943.80","970.00","941.60","0.16K","0.40%"
"02/09/2021","947.00","926.90","950.90","920.00","0.18K","0.74%"
"02/08/2021","940.00","950.00","951.00","905.60","0.24K","2.66%"
"02/05/2021","915.60","881.00","915.60","880.00","0.17K","3.62%"
"02/04/2021","883.60","884.00","889.40","867.70","0.13K","-0.05%"
"02/03/2021","884.00","866.00","889.40","850.40","0.17K","3.10%"
"02/02/2021","857.40","869.40","876.90","842.90","0.18K","-1.54%"
"02/01/2021","870.80","887.00","890.00","859.00","0.30K","-1.83%"
"01/29/2021","887.00","888.80","897.00","868.80","0.27K","-0.63%"
"01/28/2021","892.60","858.00","897.00","858.00","0.17K","3.19%"
"01/27/2021","865.00","870.00","875.00","828.80","0.24K","1.16%"
"01/26/2021","855.10","831.40","855.10","831.40","0.26K","3.89%"
"01/25/2021","823.10","828.00","842.90","800.60","0.40K","3.40%"
"01/22/2021","796.00","796.00","796.00","796.00","0.41K","6.42%"
"01/21/2021","748.00","739.40","748.00","732.00","0.20K","6.86%"
"01/20/2021","700.00","679.20","700.00","679.20","0.25K","4.79%"
"01/19/2021","668.00","657.00","683.70","651.40","0.12K","-16.51%"
"01/15/2021","800.10","821.00","830.00","800.10","0.01K","-5.09%"
"01/14/2021","843.00","810.00","868.80","810.00","0.06K","4.07%"
"01/13/2021","810.00","822.00","822.00","810.00","0.01K","-1.46%"
"01/12/2021","822.00","841.00","841.00","810.00","0.08K","-2.55%"
"01/11/2021","843.50","865.00","871.30","840.30","0.08K","-3.05%"
"01/08/2021","870.00","895.10","895.10","870.00","0.02K","-2.16%"
"01/07/2021","889.20","896.00","905.00","889.20","0.04K","-1.42%"
"01/06/2021","902.00","884.60","912.20","870.00","0.11K","2.79%"
"01/05/2021","877.50","867.50","885.00","864.90","0.15K","0.08%"
"01/04/2021","876.80","873.10","883.00","864.00","0.12K","22.12%"
"01/01/2021","718.00","718.00","718.00","718.00","","-17.76%"
"12/31/2020","873.10","869.10","875.00","847.00","0.16K","-0.09%"
"12/30/2020","873.90","883.10","883.10","867.70","0.12K","-1.60%"
"12/29/2020","888.10","884.50","896.60","858.80","0.19K","0.35%"
"12/28/2020","885.00","897.10","897.10","866.00","0.16K","0.07%"
"12/24/2020","884.40","872.00","889.60","872.00","0.11K","1.75%"
"12/23/2020","869.20","885.00","895.00","863.20","0.30K","-1.74%"
"12/22/2020","884.60","892.30","900.50","871.00","0.32K","0.26%"
"12/21/2020","882.30","829.40","882.30","829.40","0.28K","3.76%"
"12/18/2020","850.30","851.10","853.60","827.00","0.37K","1.21%"
"12/17/2020","840.10","825.00","850.60","814.60","0.29K","2.63%"
"12/16/2020","818.60","829.30","830.50","794.00","0.29K","-0.90%"
"12/15/2020","826.00","826.90","845.00","801.20","0.38K","1.60%"
"12/14/2020","813.00","800.00","819.80","785.00","0.28K","2.26%"
"12/11/2020","795.00","796.10","801.60","762.20","0.40K","1.08%"
"12/10/2020","786.50","747.50","786.50","747.50","0.44K","4.24%"
"12/09/2020","754.50","736.70","757.20","736.70","0.32K","4.04%"
"12/08/2020","725.20","702.70","728.80","701.40","0.34K","4.08%"
"12/07/2020","696.80","680.00","697.80","680.00","0.28K","2.68%"
"12/04/2020","678.60","666.70","678.70","659.20","0.30K","2.82%"
"12/03/2020","660.00","657.50","663.40","653.60","0.18K","1.69%"
"12/02/2020","649.00","633.00","657.40","633.00","0.30K","2.17%"
"12/01/2020","635.20","641.20","648.90","634.50","0.24K","-0.25%"
"11/30/2020","636.80","627.50","648.00","615.00","0.26K","0.94%"
"11/27/2020","630.90","620.50","632.10","614.30","0.05K","2.24%"
"11/25/2020","617.10","603.00","625.00","599.20","0.13K","2.76%"
"11/24/2020","600.50","612.00","612.10","586.60","0.26K","-2.89%"
"11/23/2020","618.40","635.00","635.00","614.10","0.19K","-1.86%"
"11/20/2020","630.10","625.80","641.30","622.00","0.20K","2.14%"
"11/19/2020","616.90","595.20","627.70","593.50","0.23K","3.56%"
"11/18/2020","595.70","615.90","622.10","593.10","0.22K","-2.44%"
